dataset,acc,pre,rec,f1,auc,fold
APP_PRNP,0.6621,0.713,0.6666,0.689,0.7008,1
APP_PRNP,0.589,0.6057,0.8862,0.7062,0.6425,2
APP_PRNP,0.5616,0.5865,0.8374,0.6687,0.5741,3
APP_PRNP,0.6849,0.7812,0.6098,0.6849,0.7571,4
APP_PRNP,0.7671,0.7773,0.8212,0.7985,0.7743,5
APP_PRNP,0.6164,0.7241,0.5122,0.6,0.6568,6
APP_PRNP,0.5833,0.6341,0.6341,0.6341,0.5988,7
APP_PRNP,0.6343,0.7077,0.6098,0.6551,0.6589,8
APP_PRNP,0.5648,0.6595,0.4878,0.5608,0.6138,9
APP_PRNP,0.6528,0.6739,0.7561,0.7126,0.6498,10
APP_PSEN1,0.6621,0.713,0.6666,0.689,0.7014,1
APP_PSEN1,0.5844,0.6032,0.878,0.7008,0.6396,2
APP_PSEN1,0.5662,0.6123,0.6911,0.6281,0.5512,3
APP_PSEN1,0.694,0.7981,0.6098,0.6912,0.7552,4
APP_PSEN1,0.7671,0.7773,0.8212,0.7985,0.7776,5
APP_PSEN1,0.6073,0.7085,0.5122,0.5944,0.6389,6
APP_PSEN1,0.5833,0.6341,0.6341,0.6341,0.6022,7
APP_PSEN1,0.6574,0.7542,0.5935,0.6638,0.6609,8
APP_PSEN1,0.5694,0.6667,0.4878,0.5634,0.5983,9
APP_PSEN1,0.6528,0.6739,0.7561,0.7126,0.6626,10
APP_PSEN2,0.6666,0.7286,0.6504,0.6868,0.7087,1
APP_PSEN2,0.589,0.6057,0.8862,0.7062,0.6405,2
APP_PSEN2,0.557,0.61,0.6585,0.6126,0.5888,3
APP_PSEN2,0.6849,0.7812,0.6098,0.6849,0.7617,4
APP_PSEN2,0.7717,0.7791,0.8293,0.8031,0.7738,5
APP_PSEN2,0.6073,0.7085,0.5122,0.5944,0.6457,6
APP_PSEN2,0.5787,0.6125,0.7561,0.6646,0.6063,7
APP_PSEN2,0.6343,0.7077,0.6098,0.6551,0.6685,8
APP_PSEN2,0.5694,0.6667,0.4878,0.5634,0.5986,9
APP_PSEN2,0.6435,0.6645,0.7561,0.7073,0.6642,10
APP_SOD2,0.6758,0.7181,0.7479,0.7162,0.7095,1
APP_SOD2,0.6392,0.6896,0.6504,0.6694,0.6334,2
APP_SOD2,0.5616,0.6364,0.5122,0.5676,0.5925,3
APP_SOD2,0.6803,0.7789,0.6017,0.6788,0.7596,4
APP_SOD2,0.7671,0.7857,0.8049,0.7952,0.7953,5
APP_SOD2,0.6164,0.7241,0.5122,0.6,0.6549,6
APP_SOD2,0.5787,0.6074,0.7561,0.6653,0.6091,7
APP_SOD2,0.6667,0.7742,0.5854,0.6667,0.6811,8
APP_SOD2,0.5694,0.6667,0.4878,0.5634,0.602,9
APP_SOD2,0.6528,0.6739,0.7561,0.7126,0.6606,10
APP_TOMM40,0.6621,0.713,0.6666,0.689,0.7001,1
APP_TOMM40,0.6347,0.6869,0.6422,0.6638,0.6373,2
APP_TOMM40,0.5616,0.6364,0.5122,0.5676,0.5596,3
APP_TOMM40,0.6849,0.7812,0.6098,0.6849,0.7461,4
APP_TOMM40,0.7488,0.758,0.813,0.7843,0.7688,5
APP_TOMM40,0.6164,0.7241,0.5122,0.6,0.6667,6
APP_TOMM40,0.5833,0.6341,0.6341,0.6341,0.6062,7
APP_TOMM40,0.6343,0.7077,0.6098,0.6551,0.6605,8
APP_TOMM40,0.5694,0.6667,0.4878,0.5634,0.6098,9
APP_TOMM40,0.6528,0.6739,0.7561,0.7126,0.6689,10
BAX_TOMM40,0.6803,0.7489,0.6504,0.6958,0.7002,1
BAX_TOMM40,0.6255,0.6658,0.6748,0.6697,0.6443,2
BAX_TOMM40,0.589,0.6251,0.7317,0.6587,0.5571,3
BAX_TOMM40,0.6849,0.7812,0.6098,0.6849,0.7536,4
BAX_TOMM40,0.7762,0.7808,0.8374,0.8079,0.7871,5
BAX_TOMM40,0.6164,0.7241,0.5122,0.6,0.6397,6
BAX_TOMM40,0.5833,0.6341,0.6341,0.6341,0.6093,7
BAX_TOMM40,0.6621,0.7511,0.6098,0.6726,0.6916,8
BAX_TOMM40,0.5694,0.6667,0.4878,0.5634,0.6013,9
BAX_TOMM40,0.6528,0.6739,0.7561,0.7126,0.6688,10
CASP3_BAX,0.6255,0.6609,0.7723,0.6954,0.7122,1
CASP3_BAX,0.589,0.6057,0.8862,0.7062,0.6358,2
CASP3_BAX,0.5616,0.6364,0.5122,0.5676,0.562,3
CASP3_BAX,0.694,0.7981,0.6098,0.6912,0.7535,4
CASP3_BAX,0.758,0.7656,0.8212,0.7922,0.7712,5
CASP3_BAX,0.6164,0.7241,0.5122,0.6,0.6377,6
CASP3_BAX,0.5787,0.6132,0.7479,0.663,0.6168,7
CASP3_BAX,0.6482,0.7343,0.6017,0.6608,0.6486,8
CASP3_BAX,0.5694,0.6667,0.4878,0.5634,0.6071,9
CASP3_BAX,0.6528,0.6739,0.7561,0.7126,0.6546,10
CASP3_EIF2S1,0.6575,0.7105,0.6585,0.6835,0.697,1
CASP3_EIF2S1,0.589,0.6057,0.8862,0.7062,0.6317,2
CASP3_EIF2S1,0.5662,0.6372,0.5285,0.5775,0.5513,3
CASP3_EIF2S1,0.621,0.873,0.4228,0.4848,0.7591,4
CASP3_EIF2S1,0.7717,0.7874,0.813,0.8,0.7797,5
CASP3_EIF2S1,0.6164,0.7241,0.5122,0.6,0.6484,6
CASP3_EIF2S1,0.5741,0.6227,0.6422,0.632,0.6027,7
CASP3_EIF2S1,0.6482,0.7343,0.6017,0.6608,0.6639,8
CASP3_EIF2S1,0.5694,0.6667,0.4878,0.5634,0.5969,9
CASP3_EIF2S1,0.6528,0.6739,0.7561,0.7126,0.6517,10
CASP3_PICALM,0.6666,0.7286,0.6504,0.6868,0.7106,1
CASP3_PICALM,0.557,0.5596,0.9919,0.7155,0.629,2
CASP3_PICALM,0.5662,0.6372,0.5285,0.5775,0.5668,3
CASP3_PICALM,0.6849,0.7812,0.6098,0.6849,0.7489,4
CASP3_PICALM,0.7625,0.7674,0.8293,0.7968,0.7766,5
CASP3_PICALM,0.6164,0.7241,0.5122,0.6,0.6708,6
CASP3_PICALM,0.5741,0.6227,0.6422,0.632,0.6079,7
CASP3_PICALM,0.6435,0.7238,0.6098,0.6609,0.6588,8
CASP3_PICALM,0.5694,0.6667,0.4878,0.5634,0.6049,9
CASP3_PICALM,0.6528,0.6739,0.7561,0.7126,0.6596,10
CLU_BAX,0.6666,0.7286,0.6504,0.6868,0.7222,1
CLU_BAX,0.6164,0.6493,0.7723,0.6915,0.6395,2
CLU_BAX,0.557,0.5845,0.8293,0.665,0.5521,3
CLU_BAX,0.6849,0.7812,0.6098,0.6849,0.7444,4
CLU_BAX,0.7671,0.7609,0.8537,0.8046,0.7952,5
CLU_BAX,0.6118,0.7161,0.5122,0.5972,0.658,6
CLU_BAX,0.5833,0.6341,0.6341,0.6341,0.6109,7
CLU_BAX,0.6389,0.7143,0.6098,0.6579,0.6708,8
CLU_BAX,0.5694,0.6667,0.4878,0.5634,0.5972,9
CLU_BAX,0.6528,0.6739,0.7561,0.7126,0.6673,10
CLU_PRNP,0.6575,0.7105,0.6585,0.6835,0.6939,1
CLU_PRNP,0.5844,0.6025,0.878,0.6989,0.6273,2
CLU_PRNP,0.5662,0.6372,0.5285,0.5775,0.5637,3
CLU_PRNP,0.5662,0.7874,0.5366,0.4833,0.7566,4
CLU_PRNP,0.7625,0.7673,0.8293,0.797,0.7862,5
CLU_PRNP,0.6164,0.7241,0.5122,0.6,0.6469,6
CLU_PRNP,0.5324,0.5894,0.4309,0.4382,0.6002,7
CLU_PRNP,0.6389,0.7143,0.6098,0.6579,0.6734,8
CLU_PRNP,0.5694,0.6667,0.4878,0.5634,0.6006,9
CLU_PRNP,0.6528,0.6739,0.7561,0.7126,0.6577,10
ENO1_ACHE,0.6438,0.6904,0.6666,0.678,0.7051,1
ENO1_ACHE,0.5844,0.6032,0.878,0.7008,0.6393,2
ENO1_ACHE,0.5433,0.5781,0.8049,0.6532,0.5738,3
ENO1_ACHE,0.6849,0.7812,0.6098,0.6849,0.7439,4
ENO1_ACHE,0.7717,0.7708,0.8456,0.8062,0.7876,5
ENO1_ACHE,0.6164,0.7241,0.5122,0.6,0.6578,6
ENO1_ACHE,0.5833,0.6341,0.6341,0.6341,0.6077,7
ENO1_ACHE,0.6389,0.7143,0.6098,0.6579,0.6756,8
ENO1_ACHE,0.5416,0.6945,0.374,0.4572,0.5999,9
ENO1_ACHE,0.6528,0.6739,0.7561,0.7126,0.6509,10
ENO1_ATP5F1A,0.6301,0.6633,0.7805,0.7009,0.7101,1
ENO1_ATP5F1A,0.6392,0.6865,0.6585,0.6722,0.634,2
ENO1_ATP5F1A,0.5616,0.5865,0.8374,0.6687,0.5753,3
ENO1_ATP5F1A,0.6849,0.7812,0.6098,0.6849,0.7486,4
ENO1_ATP5F1A,0.7717,0.7708,0.8456,0.8062,0.7873,5
ENO1_ATP5F1A,0.6164,0.7241,0.5122,0.6,0.6665,6
ENO1_ATP5F1A,0.5833,0.6341,0.6341,0.6341,0.6142,7
ENO1_ATP5F1A,0.6482,0.7343,0.6017,0.6608,0.6706,8
ENO1_ATP5F1A,0.5694,0.6667,0.4878,0.5634,0.6086,9
ENO1_ATP5F1A,0.6528,0.6739,0.7561,0.7126,0.6595,10
GSK3B_BAX,0.6621,0.713,0.6666,0.689,0.7078,1
GSK3B_BAX,0.589,0.6057,0.8862,0.7062,0.6368,2
GSK3B_BAX,0.5616,0.6364,0.5122,0.5676,0.5554,3
GSK3B_BAX,0.6849,0.7812,0.6098,0.6849,0.7555,4
GSK3B_BAX,0.7762,0.7808,0.8374,0.8079,0.7888,5
GSK3B_BAX,0.5662,0.7327,0.3659,0.4444,0.6397,6
GSK3B_BAX,0.5833,0.6341,0.6341,0.6341,0.6149,7
GSK3B_BAX,0.6389,0.7143,0.6098,0.6579,0.6672,8
GSK3B_BAX,0.5694,0.6667,0.4878,0.5634,0.6113,9
GSK3B_BAX,0.6528,0.6739,0.7561,0.7126,0.6537,10
IGF1_IGF1R,0.6758,0.7466,0.6422,0.69,0.7106,1
IGF1_IGF1R,0.6164,0.6583,0.6666,0.662,0.6237,2
IGF1_IGF1R,0.5616,0.6364,0.5122,0.5676,0.5602,3
IGF1_IGF1R,0.6849,0.7812,0.6098,0.6849,0.7522,4
IGF1_IGF1R,0.7762,0.7808,0.8374,0.8079,0.7775,5
IGF1_IGF1R,0.6118,0.7161,0.5122,0.5972,0.6592,6
IGF1_IGF1R,0.5833,0.6341,0.6341,0.6341,0.6048,7
IGF1_IGF1R,0.6482,0.7304,0.6098,0.6638,0.6643,8
IGF1_IGF1R,0.5694,0.6667,0.4878,0.5634,0.5951,9
IGF1_IGF1R,0.6528,0.6739,0.7561,0.7126,0.6558,10
IGF1_TF,0.6392,0.6694,0.7723,0.7036,0.7176,1
IGF1_TF,0.557,0.5596,0.9919,0.7155,0.6334,2
IGF1_TF,0.5616,0.6364,0.5122,0.5676,0.5537,3
IGF1_TF,0.6895,0.7896,0.6098,0.6881,0.7559,4
IGF1_TF,0.7671,0.7857,0.8049,0.7952,0.7812,5
IGF1_TF,0.6164,0.7241,0.5122,0.6,0.6569,6
IGF1_TF,0.5833,0.6341,0.6341,0.6341,0.6077,7
IGF1_TF,0.6389,0.7066,0.626,0.6638,0.665,8
IGF1_TF,0.5694,0.6667,0.4878,0.5634,0.5913,9
IGF1_TF,0.6528,0.6739,0.7561,0.7126,0.6499,10
IGF1R_IGF2,0.6666,0.7237,0.6585,0.6894,0.7074,1
IGF1R_IGF2,0.5799,0.6012,0.8699,0.697,0.633,2
IGF1R_IGF2,0.5616,0.6364,0.5122,0.5676,0.5549,3
IGF1R_IGF2,0.6986,0.8065,0.6098,0.6944,0.7557,4
IGF1R_IGF2,0.7625,0.7757,0.813,0.7937,0.7773,5
IGF1R_IGF2,0.5571,0.4827,0.3415,0.4,0.6497,6
IGF1R_IGF2,0.5833,0.6341,0.6341,0.6341,0.5982,7
IGF1R_IGF2,0.6482,0.7343,0.6017,0.6608,0.6619,8
IGF1R_IGF2,0.5694,0.6667,0.4878,0.5634,0.6024,9
IGF1R_IGF2,0.6528,0.6739,0.7561,0.7126,0.658,10
IGF1R_INSR,0.6621,0.713,0.6666,0.689,0.7062,1
IGF1R_INSR,0.589,0.6064,0.8699,0.7012,0.632,2
IGF1R_INSR,0.5616,0.6108,0.6748,0.6226,0.5754,3
IGF1R_INSR,0.6849,0.7812,0.6098,0.6849,0.7485,4
IGF1R_INSR,0.7625,0.7674,0.8293,0.7968,0.7758,5
IGF1R_INSR,0.6073,0.7085,0.5122,0.5944,0.6472,6
IGF1R_INSR,0.5833,0.6341,0.6341,0.6341,0.6006,7
IGF1R_INSR,0.6389,0.7143,0.6098,0.6579,0.6635,8
IGF1R_INSR,0.5694,0.6667,0.4878,0.5634,0.5942,9
IGF1R_INSR,0.6528,0.6739,0.7561,0.7126,0.6716,10
INSR_CALM1,0.6027,0.6173,0.878,0.71,0.7121,1
INSR_CALM1,0.6392,0.6865,0.6585,0.6722,0.6337,2
INSR_CALM1,0.5616,0.6115,0.6748,0.6182,0.5678,3
INSR_CALM1,0.6849,0.7812,0.6098,0.6849,0.76,4
INSR_CALM1,0.7762,0.7808,0.8374,0.8079,0.7886,5
INSR_CALM1,0.6164,0.7241,0.5122,0.6,0.6654,6
INSR_CALM1,0.5648,0.5782,0.8943,0.6959,0.6199,7
INSR_CALM1,0.6482,0.7343,0.6017,0.6608,0.6612,8
INSR_CALM1,0.5648,0.6566,0.4959,0.5648,0.5945,9
INSR_CALM1,0.6528,0.6739,0.7561,0.7126,0.6631,10
INSR_IGF2,0.6758,0.7466,0.6422,0.69,0.7018,1
INSR_IGF2,0.6392,0.6865,0.6585,0.6722,0.6213,2
INSR_IGF2,0.5707,0.6405,0.5366,0.5835,0.5763,3
INSR_IGF2,0.6895,0.7896,0.6098,0.6881,0.7485,4
INSR_IGF2,0.7625,0.7757,0.813,0.7937,0.7721,5
INSR_IGF2,0.6164,0.7241,0.5122,0.6,0.6646,6
INSR_IGF2,0.5833,0.6341,0.6341,0.6341,0.6032,7
INSR_IGF2,0.6389,0.7143,0.6098,0.6579,0.6623,8
INSR_IGF2,0.5277,0.7778,0.3333,0.3915,0.601,9
INSR_IGF2,0.6528,0.6739,0.7561,0.7126,0.6537,10
MAPT_CALM1,0.6347,0.6669,0.7642,0.6981,0.7015,1
MAPT_CALM1,0.6164,0.6592,0.6585,0.6586,0.6275,2
MAPT_CALM1,0.5388,0.5512,0.9512,0.6976,0.5681,3
MAPT_CALM1,0.694,0.7919,0.6179,0.694,0.746,4
MAPT_CALM1,0.7032,0.7044,0.8943,0.7778,0.7818,5
MAPT_CALM1,0.6164,0.7241,0.5122,0.6,0.6454,6
MAPT_CALM1,0.5833,0.6341,0.6341,0.6341,0.6034,7
MAPT_CALM1,0.6528,0.7421,0.6017,0.6639,0.6663,8
MAPT_CALM1,0.5694,0.6667,0.4878,0.5634,0.6052,9
MAPT_CALM1,0.6435,0.6626,0.7642,0.7095,0.65,10
MAPT_CASP3,0.6073,0.7584,0.4634,0.5169,0.7107,1
MAPT_CASP3,0.5844,0.5955,0.878,0.7007,0.631,2
MAPT_CASP3,0.5297,0.7335,0.5285,0.4548,0.5897,3
MAPT_CASP3,0.6164,0.871,0.4147,0.4788,0.7496,4
MAPT_CASP3,0.7762,0.7808,0.8374,0.8079,0.7857,5
MAPT_CASP3,0.6164,0.7241,0.5122,0.6,0.6626,6
