fold,target,dataset,model,acc,pre,rec,f1,auc
1,PET,AD_PPI_rewired60_missense,GNN GraphGym,0.6438,0.685,0.7561,0.7014,0.7123
1,PET,AD_PPI_rewired61_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.711
1,PET,AD_PPI_rewired62_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.6795
1,PET,AD_PPI_rewired63_missense,GNN GraphGym,0.6575,0.7077,0.6666,0.6862,0.6799
1,PET,AD_PPI_rewired64_missense,GNN GraphGym,0.6712,0.7179,0.6829,0.7,0.719
1,PET,AD_PPI_rewired65_missense,GNN GraphGym,0.6575,0.7035,0.6748,0.6888,0.7133
1,PET,AD_PPI_rewired66_missense,GNN GraphGym,0.6392,0.6593,0.813,0.7148,0.6998
1,PET,AD_PPI_rewired67_missense,GNN GraphGym,0.6438,0.6866,0.7398,0.6979,0.6909
1,PET,AD_PPI_rewired68_missense,GNN GraphGym,0.6484,0.7017,0.6504,0.6751,0.703
1,PET,AD_PPI_rewired69_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.7001
1,PET,AD_PPI_rewired70_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7083
1,PET,AD_PPI_rewired71_missense,GNN GraphGym,0.6255,0.6609,0.7723,0.6954,0.693
1,PET,AD_PPI_rewired72_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7159
1,PET,AD_PPI_rewired73_missense,GNN GraphGym,0.6347,0.6789,0.7642,0.6987,0.6879
1,PET,AD_PPI_rewired74_missense,GNN GraphGym,0.621,0.6446,0.8292,0.7091,0.7104
1,PET,AD_PPI_rewired75_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.7012
1,PET,AD_PPI_rewired76_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.6951
1,PET,AD_PPI_rewired77_missense,GNN GraphGym,0.6438,0.6828,0.6829,0.6828,0.7039
1,PET,AD_PPI_rewired78_missense,GNN GraphGym,0.6347,0.6685,0.7479,0.6947,0.7097
1,PET,AD_PPI_rewired79_missense,GNN GraphGym,0.6575,0.6972,0.691,0.6937,0.7243
1,PET,AD_PPI_rewired80_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7079
1,PET,AD_PPI_rewired81_missense,GNN GraphGym,0.6621,0.713,0.6666,0.689,0.7184
1,PET,AD_PPI_rewired82_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.704
1,PET,AD_PPI_rewired83_missense,GNN GraphGym,0.6666,0.7258,0.6585,0.6895,0.6784
1,PET,AD_PPI_rewired84_missense,GNN GraphGym,0.6529,0.7092,0.6504,0.6781,0.7139
1,PET,AD_PPI_rewired85_missense,GNN GraphGym,0.6438,0.685,0.7561,0.7014,0.7006
1,PET,AD_PPI_rewired86_missense,GNN GraphGym,0.6438,0.6829,0.6829,0.6829,0.7082
1,PET,AD_PPI_rewired87_missense,GNN GraphGym,0.5616,0.5984,0.561,0.5213,0.6898
1,PET,AD_PPI_rewired88_missense,GNN GraphGym,0.6758,0.7466,0.6422,0.69,0.6891
1,PET,AD_PPI_rewired89_missense,GNN GraphGym,0.6484,0.6798,0.7073,0.6933,0.7022
1,PET,AD_PPI_rewired90_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.7147
1,PET,AD_PPI_rewired91_missense,GNN GraphGym,0.6575,0.7038,0.6748,0.6886,0.7425
1,PET,AD_PPI_rewired92_missense,GNN GraphGym,0.6621,0.713,0.6666,0.689,0.7042
1,PET,AD_PPI_rewired93_missense,GNN GraphGym,0.6575,0.7077,0.6666,0.6862,0.6766
1,PET,AD_PPI_rewired94_missense,GNN GraphGym,0.6712,0.7308,0.6585,0.6925,0.7138
1,PET,AD_PPI_rewired95_missense,GNN GraphGym,0.6027,0.6189,0.8618,0.7066,0.7163
1,PET,AD_PPI_rewired96_missense,GNN GraphGym,0.6575,0.7105,0.6585,0.6835,0.7133
1,PET,AD_PPI_rewired97_missense,GNN GraphGym,0.6621,0.713,0.6666,0.689,0.7151
1,PET,AD_PPI_rewired98_missense,GNN GraphGym,0.6666,0.7286,0.6504,0.6868,0.6916
1,PET,AD_PPI_rewired99_missense,GNN GraphGym,0.6575,0.7038,0.6748,0.6886,0.6914
1,PET,AD_PPI_rewired100_missense,GNN GraphGym,0.6347,0.683,0.6585,0.67,0.6999
2,PET,AD_PPI_rewired1_missense,GNN GraphGym,0.589,0.6069,0.8699,0.7028,0.663
2,PET,AD_PPI_rewired2_missense,GNN GraphGym,0.5525,0.7433,0.561,0.4907,0.6566
2,PET,AD_PPI_rewired3_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6658
2,PET,AD_PPI_rewired4_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6585
2,PET,AD_PPI_rewired5_missense,GNN GraphGym,0.589,0.6052,0.8862,0.7045,0.6452
2,PET,AD_PPI_rewired6_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.656
2,PET,AD_PPI_rewired7_missense,GNN GraphGym,0.5799,0.6005,0.8699,0.6952,0.663
2,PET,AD_PPI_rewired8_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6613
2,PET,AD_PPI_rewired9_missense,GNN GraphGym,0.5753,0.5781,0.935,0.7111,0.6442
2,PET,AD_PPI_rewired10_missense,GNN GraphGym,0.6164,0.6487,0.7723,0.6898,0.6702
2,PET,AD_PPI_rewired11_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6573
2,PET,AD_PPI_rewired12_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6748
2,PET,AD_PPI_rewired13_missense,GNN GraphGym,0.5616,0.5641,0.9675,0.7122,0.6629
2,PET,AD_PPI_rewired14_missense,GNN GraphGym,0.6484,0.6949,0.6666,0.6805,0.6483
2,PET,AD_PPI_rewired15_missense,GNN GraphGym,0.6392,0.6749,0.6992,0.6844,0.6574
2,PET,AD_PPI_rewired16_missense,GNN GraphGym,0.5753,0.5919,0.878,0.6953,0.6612
2,PET,AD_PPI_rewired17_missense,GNN GraphGym,0.6164,0.6499,0.7561,0.6864,0.6493
2,PET,AD_PPI_rewired18_missense,GNN GraphGym,0.5799,0.6109,0.7561,0.6642,0.624
2,PET,AD_PPI_rewired19_missense,GNN GraphGym,0.6438,0.6838,0.6829,0.6829,0.6613
2,PET,AD_PPI_rewired20_missense,GNN GraphGym,0.6164,0.6493,0.7723,0.6915,0.6395
2,PET,AD_PPI_rewired21_missense,GNN GraphGym,0.6073,0.6382,0.7723,0.6859,0.6491
2,PET,AD_PPI_rewired22_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6681
2,PET,AD_PPI_rewired23_missense,GNN GraphGym,0.5844,0.6042,0.8618,0.6972,0.6535
2,PET,AD_PPI_rewired24_missense,GNN GraphGym,0.6392,0.6896,0.6504,0.6694,0.6545
2,PET,AD_PPI_rewired25_missense,GNN GraphGym,0.6392,0.6865,0.6585,0.6722,0.6565
2,PET,AD_PPI_rewired26_missense,GNN GraphGym,0.6301,0.6758,0.6585,0.6669,0.6206
2,PET,AD_PPI_rewired27_missense,GNN GraphGym,0.6438,0.6721,0.7317,0.6949,0.652
2,PET,AD_PPI_rewired28_missense,GNN GraphGym,0.6347,0.6808,0.6585,0.6695,0.6485
2,PET,AD_PPI_rewired29_missense,GNN GraphGym,0.6164,0.6499,0.7561,0.6864,0.6564
2,PET,AD_PPI_rewired30_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.662
2,PET,AD_PPI_rewired31_missense,GNN GraphGym,0.6438,0.6923,0.6585,0.675,0.6493
